"snapshot","lat","lon","value","label","category","source"
"2025-07","40.7128","-74.0060","43.2","New York","na-low","synthetic-risk-v1"
"2025-07","34.0522","-118.2437","43","Los Angeles","eu-medium","synthetic-risk-v1"
"2025-07","51.5074","-0.1278","46.4","London","apac-high","synthetic-risk-v1"
"2025-07","48.8566","2.3522","45","Paris","latam-low","synthetic-risk-v1"
"2025-07","28.6139","77.2090","53.8","Delhi","mea-medium","synthetic-risk-v1"
"2025-07","35.6762","139.6503","54.8","Tokyo","na-high","synthetic-risk-v1"
"2025-07","40.7128","-74.0060","60.6","New York","eu-low","synthetic-risk-v1"
"2025-07","34.0522","-118.2437","42.6","Los Angeles","apac-medium","synthetic-risk-v1"
"2025-07","51.5074","-0.1278","46.6","London","latam-high","synthetic-risk-v1"
"2025-07","48.8566","2.3522","44","Paris","mea-low","synthetic-risk-v1"
"2025-07","28.6139","77.2090","57","Delhi","na-medium","synthetic-risk-v1"
"2025-07","35.6762","139.6503","55.6","Tokyo","eu-high","synthetic-risk-v1"
"2025-07","40.7128","-74.0060","63.8","New York","apac-low","synthetic-risk-v1"
"2025-07","34.0522","-118.2437","59.4","Los Angeles","latam-medium","synthetic-risk-v1"
"2025-07","51.5074","-0.1278","48.6","London","mea-high","synthetic-risk-v1"
"2025-07","48.8566","2.3522","45.4","Paris","na-low","synthetic-risk-v1"
"2025-07","28.6139","77.2090","60.2","Delhi","eu-medium","synthetic-risk-v1"
"2025-07","35.6762","139.6503","57.6","Tokyo","apac-high","synthetic-risk-v1"
"2025-08","40.7128","-74.0060","47.7","New York","na-low","synthetic-risk-v1"
"2025-08","34.0522","-118.2437","47.5","Los Angeles","eu-medium","synthetic-risk-v1"
"2025-08","51.5074","-0.1278","50.9","London","apac-high","synthetic-risk-v1"
"2025-08","48.8566","2.3522","49.5","Paris","latam-low","synthetic-risk-v1"
"2025-08","28.6139","77.2090","58.3","Delhi","mea-medium","synthetic-risk-v1"
"2025-08","35.6762","139.6503","59.3","Tokyo","na-high","synthetic-risk-v1"
"2025-08","40.7128","-74.0060","65.1","New York","eu-low","synthetic-risk-v1"
"2025-08","34.0522","-118.2437","47.1","Los Angeles","apac-medium","synthetic-risk-v1"
"2025-08","51.5074","-0.1278","51.1","London","latam-high","synthetic-risk-v1"
"2025-08","48.8566","2.3522","48.5","Paris","mea-low","synthetic-risk-v1"
"2025-08","28.6139","77.2090","61.5","Delhi","na-medium","synthetic-risk-v1"
"2025-08","35.6762","139.6503","60.1","Tokyo","eu-high","synthetic-risk-v1"
"2025-08","40.7128","-74.0060","68.3","New York","apac-low","synthetic-risk-v1"
"2025-08","34.0522","-118.2437","63.9","Los Angeles","latam-medium","synthetic-risk-v1"
"2025-08","51.5074","-0.1278","53.1","London","mea-high","synthetic-risk-v1"
