snapshot,continent,country,state,county,city,lat,lon,value,label,category,source
2026-01,Europe,Austria,Styria,Graz Area,Graz,47.1371,15.3883,149.4,Graz,Styria,Austria
2026-01,Europe,Austria,Styria,Graz Area,Seiersberg,47.1992,15.3219,117.2,Seiersberg,Styria,Austria
2026-01,Europe,Austria,Styria,Leoben Area,Bruck an der Mur,47.2314,14.9700,88.0,Bruck an der Mur,Styria,Austria
2026-01,Europe,Austria,Styria,Leoben Area,Leoben,47.2587,14.9507,138.9,Leoben,Styria,Austria
2026-01,Europe,Austria,Styria,Murtal Area,Judenburg,47.1839,14.7379,171.9,Judenburg,Styria,Austria
2026-01,Europe,Austria,Styria,Murtal Area,Knittelfeld,47.2127,14.7515,105.8,Knittelfeld,Styria,Austria
2026-01,Europe,Austria,Upper Austria,Linz Area,Linz,48.2567,14.3978,105.6,Linz,Upper Austria,Austria
2026-01,Europe,Austria,Upper Austria,Linz Area,Steyr,48.2733,14.2108,107.8,Steyr,Upper Austria,Austria
2026-01,Europe,Austria,Upper Austria,Salzkammergut,Bad Ischl,47.7081,13.6616,157.4,Bad Ischl,Upper Austria,Austria
2026-01,Europe,Austria,Upper Austria,Salzkammergut,Gmunden,47.7574,13.8892,104.8,Gmunden,Upper Austria,Austria
2026-01,Europe,Austria,Upper Austria,Wels Area,Marchtrenk,48.1118,14.0701,150.6,Marchtrenk,Upper Austria,Austria
2026-01,Europe,Austria,Upper Austria,Wels Area,Wels,48.0323,13.9157,68.4,Wels,Upper Austria,Austria
2026-01,Europe,Austria,Vienna,Donaustadt District,Donaustadt,48.0924,16.3041,160.1,Donaustadt,Vienna,Austria
2026-01,Europe,Austria,Vienna,Donaustadt District,Kagran,48.2987,16.3256,160.6,Kagran,Vienna,Austria
2026-01,Europe,Austria,Vienna,Favoriten District,Favoriten,48.1827,16.3223,76.7,Favoriten,Vienna,Austria
2026-01,Europe,Austria,Vienna,Favoriten District,Simmering,48.3124,16.3397,133.9,Simmering,Vienna,Austria
2026-01,Europe,Austria,Vienna,Innere Stadt,Leopoldstadt,48.1280,16.3563,104.3,Leopoldstadt,Vienna,Austria
2026-01,Europe,Austria,Vienna,Innere Stadt,Vienna,48.2420,16.4310,108.5,Vienna,Vienna,Austria
2026-01,Europe,Belgium,Brussels Region,Brussels-Capital,Anderlecht,50.9487,4.4734,108.3,Anderlecht,Brussels Region,Belgium
2026-01,Europe,Belgium,Brussels Region,Brussels-Capital,Brussels,50.7433,4.2146,85.1,Brussels,Brussels Region,Belgium
2026-01,Europe,Belgium,Brussels Region,Ixelles Area,Ixelles,50.8340,4.3743,125.2,Ixelles,Brussels Region,Belgium
2026-01,Europe,Belgium,Brussels Region,Ixelles Area,Uccle,50.8981,4.4724,118.1,Uccle,Brussels Region,Belgium
2026-01,Europe,Belgium,Brussels Region,Schaerbeek Area,Evere,50.7603,4.3074,155.5,Evere,Brussels Region,Belgium
2026-01,Europe,Belgium,Brussels Region,Schaerbeek Area,Schaerbeek,51.0045,4.4664,108.0,Schaerbeek,Brussels Region,Belgium
2026-01,Europe,Belgium,Flanders,Antwerp Province,Antwerp,51.1411,4.5245,120.1,Antwerp,Flanders,Belgium
2026-01,Europe,Belgium,Flanders,Antwerp Province,Mechelen,51.2545,4.5168,166.6,Mechelen,Flanders,Belgium
2026-01,Europe,Belgium,Flanders,East Flanders,Aalst,50.9259,3.7238,108.7,Aalst,Flanders,Belgium
2026-01,Europe,Belgium,Flanders,East Flanders,Ghent,51.0954,3.8297,136.1,Ghent,Flanders,Belgium
2026-01,Europe,Belgium,Flanders,West Flanders,Bruges,51.2752,3.0931,84.8,Bruges,Flanders,Belgium
2026-01,Europe,Belgium,Flanders,West Flanders,Kortrijk,51.1305,3.3714,78.2,Kortrijk,Flanders,Belgium
2026-01,Europe,Belgium,Wallonia,Hainaut Province,Charleroi,50.4192,4.3471,96.5,Charleroi,Wallonia,Belgium
2026-01,Europe,Belgium,Wallonia,Hainaut Province,Mons,50.4229,4.4991,166.8,Mons,Wallonia,Belgium
2026-01,Europe,Belgium,Wallonia,Liege Province,Liege,50.6111,5.5366,206.7,Liege,Wallonia,Belgium
2026-01,Europe,Belgium,Wallonia,Liege Province,Seraing,50.6017,5.4861,91.6,Seraing,Wallonia,Belgium
2026-01,Europe,Belgium,Wallonia,Namur Province,Dinant,50.4882,4.7223,198.1,Dinant,Wallonia,Belgium
2026-01,Europe,Belgium,Wallonia,Namur Province,Namur,50.4768,4.8840,97.4,Namur,Wallonia,Belgium
2026-01,Europe,Bulgaria,Plovdiv,Karlovo Area,Karlovo,42.6178,24.7341,104.3,Karlovo,Plovdiv,Bulgaria
2026-01,Europe,Bulgaria,Plovdiv,Karlovo Area,Sopot,42.5059,24.8600,70.0,Sopot,Plovdiv,Bulgaria
2026-01,Europe,Bulgaria,Plovdiv,Pazardzhik Area,Pazardzhik,42.2547,24.2256,89.9,Pazardzhik,Plovdiv,Bulgaria
